input,output
"Todd: Yeah, no shit, Khrushchev.","Grigori: Oh, shit! Don't look at them. At me. Tell me about this psycho."
"Grigori: Oh, shit! Don't look at them. At me. Tell me about this psycho.","Dustin: I mean, you have to admit, as a feat of engineering alone, this is impressive."
"Dustin: I mean, you have to admit, as a feat of engineering alone, this is impressive.","Steve: What are you talking about? It's a total fire hazard. There's no stairs, there's no exit, there's just an elevator that drops you halfway to hell."
"Steve: What are you talking about? It's a total fire hazard. There's no stairs, there's no exit, there's just an elevator that drops you halfway to hell.","Dustin: They're Commies. You don't pay people, they cut corners."
"Dustin: They're Commies. You don't pay people, they cut corners.","Steve: To be fair to our Russian comrades, I don't think this tunnel was designed for walking."
"Steve: To be fair to our Russian comrades, I don't think this tunnel was designed for walking.","Dustin: Think about it, they developed the perfect system for transporting that cargo. It all comes into the mall like any old delivery. And then they load it up onto those trucks and nobody's the wiser."
"Dustin: Think about it, they developed the perfect system for transporting that cargo. It all comes into the mall like any old delivery. And then they load it up onto those trucks and nobody's the wiser.",Steve: You think they built this whole mall so they could transport that green poison?
Steve: You think they built this whole mall so they could transport that green poison?,"Dustin: I very seriously doubt it's something as boring as poison. It's gotta be much more valuable, like promethium or something."
"Dustin: I very seriously doubt it's something as boring as poison. It's gotta be much more valuable, like promethium or something.",Erica: What the hell is promethium?
Erica: What the hell is promethium?,Dustin: It's what Victor Stone's dad used to make Cyborg's bionic and cybernetic components.
Dustin: It's what Victor Stone's dad used to make Cyborg's bionic and cybernetic components.,"Erica: You're all so nerdy, it makes me physically ill."
"Erica: You're all so nerdy, it makes me physically ill.","Steve: No, no, no. No, don't lump me in with them. I'm not a nerd, all right?"
"Steve: No, no, no. No, don't lump me in with them. I'm not a nerd, all right?","Robin: Why so sensitive, Harrington? Afraid of losing cool points to a ten-year-old child?"
"Robin: Why so sensitive, Harrington? Afraid of losing cool points to a ten-year-old child?","Steve: No, I'm just saying I don't know jack shit about Prometheus."
"Steve: No, I'm just saying I don't know jack shit about Prometheus.","Dustin: Promethium. Prometheus is a Greek mythological figure, but whatever. All I'm saying is, it's probably being used to make something."
"Dustin: Promethium. Prometheus is a Greek mythological figure, but whatever. All I'm saying is, it's probably being used to make something.",Robin: Or power something.
Robin: Or power something.,Steve: Like a nuclear weapon?
Steve: Like a nuclear weapon?,Dustin: Totally.
Dustin: Totally.,Steve: Walking towards a nuclear weapon. That's great. That'd be great.
Steve: Walking towards a nuclear weapon. That's great. That'd be great.,"Robin: But if they're building something, why here?"
"Robin: But if they're building something, why here?","Dustin: I mean, Hawkins. Seriously. Of all places. At the very best, we're a toilet stop on your way to Disneyland, but maybe that's it. Maybe it's our very..."
"Dustin: I mean, Hawkins. Seriously. Of all places. At the very best, we're a toilet stop on your way to Disneyland, but maybe that's it. Maybe it's our very...",Steve: You think the Russians know?
Steve: You think the Russians know?,Dustin: They could.
Dustin: They could.,Steve: So it's connected?
Steve: So it's connected?,Dustin: Maybe.
Dustin: Maybe.,Steve: How?
Steve: How?,"Dustin: I don't know, but it's... Possible."
"Dustin: I don't know, but it's... Possible.","Robin: I'm sorry, is there something you'd like to share with the class?"
"Robin: I'm sorry, is there something you'd like to share with the class?",Dustin and Robin: Walkie.
Dustin and Robin: Walkie.,Unknown: It's the code.
Unknown: It's the code.,Robin: Wherever that broadcast is coming from...
Robin: Wherever that broadcast is coming from...,Dustin: It's close. And if there's one thing we know about that signal... It can reach the surface.
Dustin: It's close. And if there's one thing we know about that signal... It can reach the surface.,Robin: Let's go.
Robin: Let's go.,"Nancy: Tom? Heather? Jesus, it's freezing. Do you guys smell that? More chemicals."
"Nancy: Tom? Heather? Jesus, it's freezing. Do you guys smell that? More chemicals.",Mike: You think they're guzzling this shit?
Mike: You think they're guzzling this shit?,"Nancy: Yeah, either that or they just went on a hell of a cleaning spree."
"Nancy: Yeah, either that or they just went on a hell of a cleaning spree.","Will: But last year, Will didn't eat chemicals. Did you?"
"Will: But last year, Will didn't eat chemicals. Did you?",Eleven: No. This is something new.
Eleven: No. This is something new.,"Mike: Mr. Clarke, fifth grade. Posit. What happens when you mix chemicals together?"
"Mike: Mr. Clarke, fifth grade. Posit. What happens when you mix chemicals together?",Lucas and Will: You create a new substance.
Lucas and Will: You create a new substance.,Nancy: What if they're making something?
Nancy: What if they're making something?,"Max: In themselves? I mean, come on, if you drink this crap, it'll kill you."
"Max: In themselves? I mean, come on, if you drink this crap, it'll kill you.","Will: Yeah, if you're human."
"Will: Yeah, if you're human.","Nancy: Blood. Yesterday, Tom had a bandage on his forehead. He was attacked. They must have tied them. They must have taken them somewhere. Mrs. Driscoll. She kept saying... 'I have to go back.' What if the flaying, it's taking place somewhere else? There must be a place where all this started, right? A source."
"Nancy: Blood. Yesterday, Tom had a bandage on his forehead. He was attacked. They must have tied them. They must have taken them somewhere. Mrs. Driscoll. She kept saying... 'I have to go back.' What if the flaying, it's taking place somewhere else? There must be a place where all this started, right? A source.",Eleven: Somewhere he didn't want me to see.
Eleven: Somewhere he didn't want me to see.,"Nancy: If we can find the source, then maybe we can stop him. Or at least stop it from spreading or doing whatever the hell he's doing with those chemicals."
"Nancy: If we can find the source, then maybe we can stop him. Or at least stop it from spreading or doing whatever the hell he's doing with those chemicals.",Mike: How do we find it?
Mike: How do we find it?,"Nancy: Mrs. Driscoll. If she wants to go back so badly, why don't we let her?"
"Nancy: Mrs. Driscoll. If she wants to go back so badly, why don't we let her?","Hopper: Jim Hopper, Joyce Byers, Smirnoff."
"Hopper: Jim Hopper, Joyce Byers, Smirnoff.",Joyce: Alexei.
Joyce: Alexei.,"Hopper: Alexei. I don't know. Open the damn door! Yeah, what? Glass houses, Joyce. You know, pot calling the kettle black."
"Hopper: Alexei. I don't know. Open the damn door! Yeah, what? Glass houses, Joyce. You know, pot calling the kettle black.","Murray: Surname. Family name! It's all right. Don't worry. He's a little bit eccentric, but... he's completely harmless. Name. Hi, Jim. No. No. No, you do not get to question me. You have dragged an enemy of the state into my home as carelessly as a child drags in shit on his shoe. I will search him until I am satisfied."
"Murray: Surname. Family name! It's all right. Don't worry. He's a little bit eccentric, but... he's completely harmless. Name. Hi, Jim. No. No. No, you do not get to question me. You have dragged an enemy of the state into my home as carelessly as a child drags in shit on his shoe. I will search him until I am satisfied.","Alexei: Get that out of my face, you bald American pig."
"Alexei: Get that out of my face, you bald American pig.","Murray: I may be bald, but you're the one in handcuffs, Soviet scum. Watch it. Silence, scum."
"Murray: I may be bald, but you're the one in handcuffs, Soviet scum. Watch it. Silence, scum.","Joyce: Hopper. Just c'mere. I need to talk to you. What? This is not gonna work. What do you mean? He's not eccentric, he's certifiable. Oh, come on. Excuse me! What? Do me a favor and move your lovers' quarrel elsewhere."
"Joyce: Hopper. Just c'mere. I need to talk to you. What? This is not gonna work. What do you mean? He's not eccentric, he's certifiable. Oh, come on. Excuse me! What? Do me a favor and move your lovers' quarrel elsewhere.","Hopper: What? Oh, oh, this? Not a lovers' quarrel, pal."
"Hopper: What? Oh, oh, this? Not a lovers' quarrel, pal.",Murray: Spare me! What is your problem?
Murray: Spare me! What is your problem?,"Hopper: Please, stop talking!"
"Hopper: Please, stop talking!","Joyce: No! We have had a very long day. We have been shot at, nearly blown up, walked God knows how many miles in a hundred degree heat, stole a car, all while being chased by this gigantic... psychopath, all so we could bring him to you. Because somehow, you're the closest person who speaks Russian, which I can't believe. But that doesn't matter because, unfortunately, we're here. So, if you don't mind, put that thing away, stop behaving like a jackass, and ask him what he's doing that's making my magnets fall off my damn fridge! Please."
"Joyce: No! We have had a very long day. We have been shot at, nearly blown up, walked God knows how many miles in a hundred degree heat, stole a car, all while being chased by this gigantic... psychopath, all so we could bring him to you. Because somehow, you're the closest person who speaks Russian, which I can't believe. But that doesn't matter because, unfortunately, we're here. So, if you don't mind, put that thing away, stop behaving like a jackass, and ask him what he's doing that's making my magnets fall off my damn fridge! Please.","Robin: Okay, clear. Clear, come on, let's go. Okay, that was close. Too close."
"Robin: Okay, clear. Clear, come on, let's go. Okay, that was close. Too close.",Dustin: Relax. All right? Relax. Nobody saw...
Dustin: Relax. All right? Relax. Nobody saw...,"Steve: Shit. Jesus! Red Dawn. First floor, northwest."
"Steve: Shit. Jesus! Red Dawn. First floor, northwest.",Robin: Saw what?
Robin: Saw what?,Steve: The comms room.
Steve: The comms room.,Robin: You saw the comms room?
Robin: You saw the comms room?,"Steve: Correct. Positive. The door was open for a second, and I saw a bunch of lights and machines and shit in there."
"Steve: Correct. Positive. The door was open for a second, and I saw a bunch of lights and machines and shit in there.",Robin: That could be a hundred different things.
Robin: That could be a hundred different things.,"Steve: I'll take those odds. All right. We're gonna move fast, we're gonna stay low. Okay?"
"Steve: I'll take those odds. All right. We're gonna move fast, we're gonna stay low. Okay?",Robin: Okay.
Robin: Okay.,Unknown: Tread lightly! Who are you?
Unknown: Tread lightly! Who are you?,Steve: Silver cat... Silver cat. China?
Steve: Silver cat... Silver cat. China?,Unknown: I don't understand.
Unknown: I don't understand.,Steve: You did it! You won a fight! Jeez... Getting us our ticket out of here.
